ID,FECHA,HORA,T_MOSTO,T_SOMBRERO,T_Promedio,T_Setpoint,Flujo_REMONTAJE,Densidad,Yan,pH,Brix,Acidez,Lote,Dosis,Bomba1,Bomba2,Electrovalvula_Aire,CEPA,FLUJO_AIRE,co2
1,2021-08-10,17:56:07,27.61,27.58,27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.0
2,2021-08-10,17:57:08,27.61,27.58,27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.0
3,2021-08-10,17:58:08,27.61,27.58,27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.0
4,2021-08-10,17:59:08,27.61,27.6,27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0
5,2021-08-10,18:00:08,27.61,27.54,27.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0
6,2021-08-10,18:01:08,27.59,27.49,27.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0
7,2021-08-10,18:02:08,27.56,27.43,27.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.0
8,2021-08-10,18:03:08,27.51,27.32,27.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0
9,2021-08-10,18:04:09,27.49,27.24,27.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0
10,2021-08-10,18:05:09,27.42,27.13,27.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0
11,2021-08-10,18:06:09,27.36,27.07,27.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0
12,2021-08-10,18:07:09,27.29,27.0,27.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0
13,2021-08-10,18:08:09,27.23,26.88,27.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0
14,2021-08-10,18:09:09,27.15,26.79,26.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0
15,2021-08-10,18:10:09,27.11,26.69,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0
16,2021-08-10,18:11:09,27.1,26.63,26.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.0
17,2021-08-10,18:12:10,27.11,26.7,26.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.0
